"row ID"	"Protein.Group"	"UniProt_Organism"	"Stripped.Sequence (Count)"	"PG.MaxLFQ+1_1_log2"	"PG.MaxLFQ+2_1_log2"	"PG.MaxLFQ+1_3_log2"	"PG.MaxLFQ+2_3_log2"	"PG.MaxLFQ+1_log2"	"PG.MaxLFQ+2_log2"
"Row300"	"O95873"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row301"	"O95905"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row302"	"O95977"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row303"	"O95989"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row304"	"O96005"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row305"	"O96008"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row306"	"O96017"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row307"	"P00156"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row308"	"P00338;P07195"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row309"	"P00387"	"Homo sapiens (Human)"	15	1	1	1	1	1	1
"Row310"	"P00403"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row311"	"P00491"	"Homo sapiens (Human)"	16	1	1	1	1	1	1
"Row312"	"P00519"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row313"	"P00734"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row314"	"P00813"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row315"	"P00973"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row316"	"P01111;P01112;P01116"	"Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row317"	"P01116"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row318"	"P01591"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row319"	"P01857;P01860"	"Homo sapiens (Human);Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row320"	"P01889"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row321"	"P01889;P01893;P04439;P13747;P17693"	"Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row322"	"P01889;P10321"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row323"	"P01893;P04439"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
